ID,ScientificName,VernacularNamesForScientific,Classification,ClassificationRanks,Biostatus
53,Himantopus novaezelandiae,Kaki|Black Stilt|Kaki|Black Stilt|Black Stilt|Kaki|Black Stilt,Himantopus novaezelandiae|Himantopus|Recurvirostrinae|Recurvirostridae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
54,Scythrops,,Scythrops|Cuculinae|Cuculidae|Cuculi|Cuculiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
55,Eudyptula minor,Little Penguin|Little Penguin|Korora|Blue Penguin,Eudyptula minor|Eudyptula|Spheniscidae|Sphenisciformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
56,Gymnorhina tibicen hypoleuca,,Gymnorhina tibicen hypoleuca|Gymnorhina tibicen|Gymnorhina|Cracticidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
57,Sturnus,,Sturnus|Sturninae|Sturnidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
58,Phalaropus fulicaria,Grey Phalarope,Phalaropus fulicaria|Phalaropodidae|Charadrii|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
59,Pachyptila salvini salvini,Salvin's Prion,Pachyptila salvini salvini|Pachyptila salvini|Pachyptila|Fulmarinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
60,Accipitres,"Secretarybird, Kites, Eagles, Hawks and Allies",Accipitres|Falconiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
61,Todiramphus,,Todiramphus|Daceloninae|Alcedinidae|Alcedines|Coraciiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
62,Notiomystis,,Notiomystis|Notiomystidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
63,Xenicus gilviventris southern,Southern rock Wren,Xenicus gilviventris southern|Acanthisittidae|Acanthisittides|Oligomyodi|Passeriformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|family|infraorder|suborder|order|class|superclass|subphylum|phylum|kingdom|none,
64,Callaeatidae,New Zealand Wattlebirds,Callaeatidae|Passeriformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|order|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
65,Gallinula hodgenorum,Hodgens' Waterhen|Hodgens' Waterhen,Gallinula hodgenorum|Gallinula|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Extinct||New Zealand|Political Region|Terrestrial
66,Aegotheles,,Aegotheles|Aegothelidae|Aegothelae|Apodiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
67,Diomedea chlororhynchos carteri,Yellow-nosed Mollymawk|Yellow-nosed Mollymawk,Diomedea chlororhynchos carteri|Diomedea chlororhynchos|Diomedea|Diomedeidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
68,Spheniscus,,Spheniscus|Spheniscidae|Sphenisciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
69,Sula dactylatra tasmani,Masked (Blue-faced) Booby,Sula dactylatra tasmani|Sula dactylatra|Sula|Sulidae|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
70,Miro,,Miro|Petroica|Petroicidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subgenus|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
71,Calidris minutilla,Least Sandpiper,Calidris minutilla|Calidris|Calidrinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present||New Zealand|Political Region|
72,Meleagris,,Meleagris|Meleagridinae|Phasianidae|Galliformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
