ID,ScientificName,VernacularNamesForScientific,Classification,ClassificationRanks,Biostatus
372,Korora,,Korora|Spheniscidae|Sphenisciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
373,Philesturnus,,Philesturnus|Callaeidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
374,Milvus,,Milvus|Accipitrinae|Accipitridae|Accipititrifomes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
375,Petroicidae,Australasian Robins,Petroicidae|Passeriformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|order|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
376,Gerygone igata,Grey warbler|Riroriro|Grey warbler|Riroriro|Grey warbler|Riroriro|Grey warbler,Gerygone igata|Gerygone|Acanthizinae|Acanthizidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
377,Limicola falcinellus,Broad-billed Sandpiper|Broad-billed Sandpiper|Broad-billed Sandpiper,Limicola falcinellus|Limicola|Calidrinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
378,Diomedea cauta eremita,Chatham Island Mollymawk|Chatham Island Mollymawk,Diomedea cauta eremita|Diomedea cauta|Diomedea|Diomedeidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
379,Acrocephalidae,,Acrocephalidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
380,Eudyptula minor albosignata,White-flippered blue Penguin|Korora,Eudyptula minor albosignata|Spheniscidae|Sphenisciformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|family|order|class|superclass|subphylum|phylum|kingdom|none,
381,Columba livia,Rock pigeon|Rock pigeon|Rock pigeon|Rock pigeon,Columba livia|Columba|Columbinae|Columbidae|Columbae|Columbiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
382,Falco novaeseelandiae eastern,Karearea|Eastern falcon,Falco novaeseelandiae eastern|Falconidae|Falcones|Falconiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
383,Haematopus ostralegus,Pied Oystercatcher|Pied Oystercatcher,Haematopus ostralegus|Haematopus|Haematopodidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Absent||New Zealand|Political Region|
384,Sterna nereis davisae,New Zealand Fairy Tern|New Zealand Fairy Tern,Sterna nereis davisae|Sterna nereis|Sterna|Sterninae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
385,Fulmarinae,"Fulmars, Prions and Gadfly Petrels",Fulmarinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
386,Puffinus spelaeus,Scarlett's shearwater|Scarlett's shearwater,Puffinus spelaeus|Puffinus|Procellariinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Extinct||New Zealand|Political Region|Terrestrial
387,Pterodroma axillaris,Chatham Petrel|Chatham Petrel,Pterodroma axillaris|Oestrelatella|Pterodroma|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
388,Anser cygnoides,,Anser cygnoides|Anser|Anserini|Anserinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Cultivation/Captivity|New Zealand|Political Region|
389,Coprotheres pomarinus,Pomarine skua|Pomarine skua,Coprotheres pomarinus|Coprotheres|Stercorariidae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
390,Diomedea cauta steadi,New Zealand White-capped (Shy) Mollymawk|New Zealand White-capped (Shy) Mollymawk,Diomedea cauta steadi|Diomedea cauta|Diomedea|Diomedeidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
391,Petroica toitoi,White-breasted tomtit,Petroica toitoi|Petroica|Petroicidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|North Island|Political Region|Terrestrial
392,Coenocorypha aucklandica,Subantarctic snipe|New Zealand Snipe|Subantarctic snipe|New Zealand Snipe,Coenocorypha aucklandica|Coenocorypha|Gallinagininae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present||New Zealand|Political Region|
393,Strigops habroptilus Kakapo,,Strigops habroptilus Kakapo|Strigops habroptilus|Strigops|Strigopinae|Strigopidae|Psittaciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
394,Anas platyrhynchos platyrhynchos,Mallard|Mallard,Anas platyrhynchos platyrhynchos|Anas platyrhynchos|Anas|Anatini|Anatinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
395,Petroica macrocephala,New Zealand Tomtit|Yellow-breasted tomtit|New Zealand Tomtit,Petroica macrocephala|Petroica|Petroica|Petroicidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|subgenus|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|Chatham Islands|Political Region|Terrestrial
396,Macronectes,,Macronectes|Fulmarinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
397,Columbinae,Typical Pigeons,Columbinae|Columbidae|Columbae|Columbiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
398,Haematopus chathamensis,torea tai|Chatham Island oystercatcher|Chatham Island Pied Oystercatcher|Chatham Island oystercatcher,Haematopus chathamensis|Haematopus|Haematopodidae|Charadrii|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
399,Gruidae,Cranes|Cranes,Gruidae|Gruiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|order|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
400,Bowdleria caudata,Snares Island Fernbird,Bowdleria caudata|Bowdleria|Sylviidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|Subantarctic Islands|Political Region|Terrestrial
401,Egretta garzetta,Little Egret|Little Egret|Little Egret,Egretta garzetta|Egretta|Ardeinae|Ardeidae|Ardeae|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|Terrestrial
402,Anseriformes,Duck-like Birds,Anseriformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,order|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
403,Sterna bergii cristata,Greater crested tern,Sterna bergii cristata|Sterna bergii|Sterna|Sterninae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
404,Procelsterna cerulea albivitta,Grey Ternlet|Grey Ternlet|Grey Ternlet,Procelsterna cerulea albivitta|Procelsterna cerulea|Procelsterna|Megalopterinae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
405,Phalaropus lobatus,Red-necked Phalarope|Red-necked Phalarope|Red-necked Phalarope,Phalaropus lobatus|Phalaropus|Phalaropodidae|Charadrii|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
406,Nycticoracinae,Night Herons|Night Herons,Nycticoracinae|Ardeidae|Ardeae|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
407,Oceanodroma leucorhoa leucorhoa,Leach's storm Petrel|Leach's storm Petrel,Oceanodroma leucorhoa leucorhoa|Oceanodroma leucorhoa|Oceanodroma|Hydrobatinae|Hydrobatidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present||New Zealand|Political Region|
408,Charadrius ruficapillus,Red-capped Dotterel|Red-capped Dotterel|Red-capped Dotterel|Red-capped Dotterel,Charadrius ruficapillus|Charadrius|Charadriinae|Charadriidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
409,Ninox novaeseelandiae novaeseelandiae,Ruru|Morepork|Ruru|Morepork,Ninox novaeseelandiae novaeseelandiae|Ninox novaeseelandiae|Ninox|Buboninae|Strigidae|Strigiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
410,Diomedea cauta,White-capped (Shy) Mollymawk|White-capped (Shy) Mollymawk,Diomedea cauta|Diomedea|Diomedeidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
411,Turanagridae,,Turanagridae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
412,Chaeturinae,Spine-tailed Swifts,Chaeturinae|Apodidae|Apodi|Apodiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
413,Bowdleria rufescens,Chatham Island Fernbird|Chatham Island Fernbird|Chatham Island Fernbird|Chatham Island Fernbird,Bowdleria rufescens|Bowdleria|Sylviidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
414,Halcyonidae,,Halcyonidae|Alcedines|Coraciiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
415,Streptopelia chinensis,Spotted Dove|Spotted Dove|Spotted Dove,Streptopelia chinensis|Streptopelia|Columbinae|Columbidae|Columbae|Columbiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
416,Phalaropodidae,Phalaropes|Phalaropes,Phalaropodidae|Charadrii|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
417,Ciconiiformes,"Herons, Ibises, Storks and Allies",Ciconiiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,order|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
418,Nestor chathamensis,Chatham Island kaka,Nestor chathamensis|Psittacidae|Psittaciformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|family|order|class|superclass|subphylum|phylum|kingdom|none,
419,Chaeturini,,Chaeturini|Apodinae|Apodidae|Apodi|Apodiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
420,Ixobrychus minutus,Little bittern|Little bittern|Little bittern,Ixobrychus minutus|Ixobrychus|Botaurinae|Ardeidae|Ardeae|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
421,Callaeas cinerea wilsoni,North Island kokako|Kokako|Kokako|North Island kokako,Callaeas cinerea wilsoni|Callaeas cinerea|Callaeas|Callaeidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
422,Caprimulgiformes,"Frogmouths, Nightjars",Caprimulgiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,order|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
423,Perdix perdix,Grey Partridge|Grey Partridge,Perdix perdix|Perdix|Phasianinae|Phasianidae|Galliformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
424,Coenocorypha,,Coenocorypha|Gallinagininae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
425,Ardeae,"Herons, Bitterns and Allies|Herons, Bitterns and Allies",Ardeae|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
426,Pachyptila crassirostris flemingi,Lesser Fulmar Prion,Pachyptila crassirostris flemingi|Pachyptila crassirostris|Pachyptila|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
427,Stictocarbo punctatus steadi,Blue Shag|Blue Shag,Stictocarbo punctatus steadi|Stictocarbo punctatus|Stictocarbo|Phalacrocoracidae|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
428,Pluvialis dominicus,American Golden Plover,Pluvialis dominicus|Charadriidae|Charadrii|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
429,Streptopelia,,Streptopelia|Columbinae|Columbidae|Columbae|Columbiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
430,Prosthemadera novaeseelandiae,Tui|Tui|Tui,Prosthemadera novaeseelandiae|Prosthemadera|Meliphagidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
431,Stictocarbo punctatus punctatus,Spotted Shag|Parekareka|kawau tikitiki|Parekareka|Spotted Shag,Stictocarbo punctatus punctatus|Stictocarbo punctatus|Stictocarbo|Phalacrocoracidae|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
432,Sterna hirundo longipennis,Eastern Common Tern|Eastern Common Tern,Sterna hirundo longipennis|Sterna hirundo|Sterna|Sterninae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
